reg no,scores
MNMA/BD.EGH/0017/13,35.5
MNMA/BD.EGH/0124/13,34
MNMA/BD.EGH/0120/13,29.25
MNMA/BD.EGH/0121/13,26.5
MNMA/BD.EGH/0074/13,22.75
MNMA/BD.EGH/0149/13,36.75
MNMA/BD.EGH/0111/13,31.5
MNMA/BD.EGH/0132/13,28.75
MNMA/BD.EGH/0146/13,28.5
MNMA/BD.EGH/0022/13,30.5
MNMA/BD.EGH/0131/13,28.25
MNMA/BD.EGH/0091/13,28.75
MNMA/BD.EGH/0129/13,29.5
MNMA/BD.EGH/0118/13,29
MNMA/BD.EGH/0151/13,23.5
MNMA/BD.EGH/0065/13,27.75
MNMA/BD.EGH/0071/13,31
MNMA/BD.EGH/0072/13,30.5
MNMA/BD.EGH/0064/13,27.75
MNMA/BD.EGH/0028/13,33
MNMA/BD.EGH/0122/13,28
MNMA/BD.EGH/0063/13,27.5
MNMA/BD.EGH/0033/13,33.5
MNMA/BD.EGH/0059/13,29.5
MNMA/BD.EGH/0095/13,31
MNMA/BD.EGH/0128/13,31
MNMA/BD.EGH/0098/13,33
MNMA/BD.EGH/0021/13,25.5
MNMA/BD.EGH/0042/13,33.5
MNMA/BD.EGH/0079/13,31
MNMA/BD.EGH/0106/13,33
MNMA/BD.EGH/0031/13,34.5
MNMA/BD.EGH/0125/13,29.75
MNMA/BD.EGH/0092/13,34.5
MNMA/BD.EGH/0136/13,28
MNMA/BD.EGH/0082/13,23.25
MNMA/BD.EGH/0134/13,24.75
MNMA/BD.EGH/0034/13,29.5
MNMA/BD.EGH/0018/13,30
MNMA/BD.EGH/0109/13,35.5
MNMA/BD.EGH/0052/13,29.25
MNMA/BD.EGH/0016/13,30
MNMA/BD.EGH/0027/13,34
MNMA/BD.EGH/0113/1,27.5
MNMA/BD.EGH/0127/13,28
MNMA/BD.EGH/0067/13,31
MNMA/BD.EGH/0001/13,35
MNMA/BD.EGH/0117/13,28
MNMA/BD.EGH/0080/13,29.75
MNMA/BD.EGH/0015/13,34
MNMA/BD.EGH/0100/13,32.25
MNMA/BD.EGH/0036/13,27.25
MNMA/BD.EGH/0114/13,26.75
MNMA/BD.EGH/0041/13,32.75
MNMA/BD.EGH/0157/13,33
MNMA/BD.EGH/0060/13,33.5
MNMA/BD.EGH/0078/13,32.25
MNMA/BD.EGH/0029/13,31
MNMA/BD.EGH/0076/13,28.5
MNMA/BD.EGH/0115/13,25.5
MNMA/BD.EGH/0025/13,30.5
MNMA/BD.EGH/0103/13,31.75
MNMA/BD.EGH/0110/13,30.5
MNMA/BD.EGH/0090/13,27
MNMA/BD.EGH/0062/13,35.75
MNMA/BD.EGH/0107/13,34
MNMA/BD.EGH/0126/13,32
MNMA/BD.EGH/0130/13,32
MNMA/BD.EGH/0014/13,25.25
MNMA/BD.EGH/0116/13,27.5
MNMA/BD.EGH/0019/13,28.5
MNMA/BD.EGH/0123/13,34
MNMA/BD.EGH/0108/13,28
MNMA/BD.EGH/0061/13,31.5
MNMA/BD.EGH/0043/13,22
MNMA/BD.EGH/0066/13,26.75
MNMA/BD.EGH/0133/13,24.5
MNMA/BD.EGH/0140/13,29
MNMA/BD.EGH/0105/13,29
MNMA/BD.EGH/0069/13,25.25
MNMA/BD.EGH/0032/13,34.25
MNMA/BD.EGH/0038/13,32
MNMA/BD.EGH/0040/13,33
MNMA/BD.EGH/0083/13,34.5
MNMA/BD.EGH/0046/13,22.5
MNMA/BD.EGH/0096/13,29
MNMA/BD.EGH/0045/13,24.5
MNMA/BD.EGH/0058/13,34.5
MNMA/BD.EGH/0152/13,35.5
MNMA/BD.EGH/0084/13,27.25
MNMA/BD.EGH/0094/13,33.25
MNMA/BDEGH/0144/13,33
MNMA/BD.EGH/0153/13,32.75
MNMA/BD.EGH/0050/13,34.5
MNMA/BD.EGH/0112/1,28
MNMA/BD.EGH/0101/13,12
MNMA/BD.EGH/0141/13,29.5
MNMA/BD.EGH/0047/13,29.5
MNMA/BD.EGH/0086/13,26
MNMA/BD.EGH/0056/13,32
MNMA/BD.EGH/0137/13,31.25
MNMA/BD.EGH/0085/13,34
MNMA/BD.EGH/0150/13,29
MNMA/BD.EGH/0023/13,34.75
MNMA/BD.EGH/0075/13,25.5
MNMA/BD.EGH/0057/13,29.5
MNMA/BD.EGH/0087/13,22.5
MNMA/BD.EGH/0073/13,26
MNMA/BD.EGH/0142/13,34.5
MNMA/BD.EGH/0070/13,37
MNMA/BD.EGH/0147/13,34.5
MNMA/BD.EGH/0055/13,34.5
MNMA/BD.EGH/0051/13,36.25
MNMA/BD.EGH/0048/13,35
MNMA/BD.EGH/0053/13,30
MNMA/BD.EGH/0037/13,38.5
MNMA/BD.EGH/0020/13,30.5
MNMA/BD.EGH/0068/13,33
MNMA/BD.EGH/0039/13,31
MNMA/BD.EGH/0054/13,37
MNMA/BD.EGH/0102/13,27.5
MNMA/BD.EGH/0145/1,34.5
MNMA/BD.EGH/0030/13,34
MNMA/BD.EGH/0081/13,29.25
MNMA/BD.EGH/0077/13,28.25
MNMA/BD.EGH/0139/13,32.25
MNMA/BD.EGH/0097/13,35
MNMA/BD.EGH/0089/13,31.75
MNMA/BD.EGH/0088/13,32.5
MNMA/BD.EGH/0138/13,30.5
MNMA/BD.EGH/0159/13,19.75
MNMA/BD.EGH/0160/13,30.5
MNMA/BD.EGH/0044/13,31.75
MNMA/BD.EGH/0024/13,27.5
