Reg NUMBER,Score
MNMA/SS/4697/13 ,8
MNMA/SS/4692/13 ,
MNMA/SS/4680/13 ,
MNMA/SS/4702/13 ,
MNMA/SS/4726/13 ,
MNMA/SS/4736/13 ,
MNMA/SS/4734/13 ,
MNMA/SS/4708/13 ,
MNMA/SS/4741/13 ,
MNMA/SS/4729/13 ,
MNMA/SS/4686/13 ,
MNMA/SS/4725/13 ,7
MNMA/SS/4713/13 ,
MNMA/SS/4722/13 ,
MNMA/SS/4670/13 ,
MNMA/SS/4723/13 ,
MNMA/SS/4667/13 ,
MNMA/SS/4769/13 ,21
MNMA/SS/4746/13 ,7
MNMA/SS/4681/13 ,
MNMA/SS/4750/13 ,2
MNMA/SS/4573/12 ,
MNMA/SS/4470/12 ,
MNMA/SS/4451/12 ,
MNMA/SS/4693/13 ,8
MNMA/SS/4727/13 ,4
MNMA/SS/4678/13 ,8
MNMA/SS/4675/13 ,
MNMA/SS/4673/13 ,
MNMA/SS/4711/13 ,4
MNMA/SS/4703/13 ,
MNMA/SS/4688/13 ,7
MNMA/SS/4716/13 ,
MNMA/SS/4759/13 ,1
MNMA/SS/4728/13 ,
MNMA/SS/4721/13 ,
MNMA/SS/4587/12 ,12
MNMA/SS/4707/13 ,2
MNMA/SS/4756/13 ,
MNMA/SS/4690/13 ,
MNMA/SS/4714/13 ,
MNMA/SS/4749/13 ,
MNMA/SS/4715/13 ,
MNMA/SS/4758/13 ,
MNMA/SS/4739/13 ,2
MNMA/SS/4672/13 ,
MNMA/SS/4724/13 ,4
MNMA/SS/4694/13 ,
MNMA/SS/4765/13 ,
MNMA/SS/4764/13 ,
MNMA/SS/4705/13 ,
MNMA/SS/4757/13 ,
MNMA/SS/4689/13 ,9
MNMA/SS/4709/13 ,8
MNMA/SS/4738/13 ,
MNMA/SS/4696/13 ,
MNMA/SS/4743/13 ,
MNMA/SS/4731/13 ,
MNMA/SS/4742/13 ,2
MNMA/SS/4698/13 ,
MNMA/SS/4677/13 ,
MNMA/SS/4679/13 ,
MNMA/SS/4735/13 ,
MNMA/SS/4754/13 ,
MNMA/SS/4691/13 ,
MNMA/SS/4683/13 ,
MNMA/SS/4748/13 ,
MNMA/SS/4687/13 ,18
MNMA/SS/4719/13 ,
MNMA/SS/4751/13 ,
MNMA/SS/4740/13 ,14
MNMA/SS/4760/13 ,
MNMA/SS/4710/13 ,
MNMA/SS/4762/13 ,
MNMA/SS/4685/13 ,7
MNMA/SS/4747/13 ,7
MNMA/SS/4712/13 ,
MNMA/SS/4763/13 ,10
MNMA/SS/4668/13 ,2
MNMA/SS/4671/13 ,
MNMA/SS/4732/13 ,
MNMA/SS/4718/13 ,
MNMA/SS/4590/12 ,
MNMA/SS/4684/13 ,
MNMA/SS/4717/13 ,
MNMA/SS/4761/13 ,
MNMA/SS/4704/13 ,
MNMA/SS/4424/11 ,
MNMA/SS/4044/11 ,
MNMA/SS/4720/13 ,3
MNMA/SS/4669/13 ,
MNMA/SS/4663/13 ,
MNMA/SS/4730/13 ,7
MNMA/SS/4676/13 ,
MNMA/SS/4737/13 ,
MNMA/SS/4640/12 ,
MNMA/SS/4768/13 ,
MNMA/SS/4682/13 ,
MNMA/SS/4662/13 ,
MNMA/SS/4753/13 ,7
MNMA/SS/4733/13 ,
MNMA/SS/4706/13 ,
MNMA/SS/4674/13 ,10
MNMA/SS/4552/12 ,
MNMA/SS/4766/13 ,
MNMA/SS/4755/13 ,
MNMA/SS/4701/13 ,
MNMA/SS/4695/13 ,
MNMA/SS/4767/13 ,
MNMA/SS/4664/13 ,8
MNMA/SS/4752/13 ,9
MNMA/SS/4700/13 ,
MNMA/SS/4699/13 ,9
MNMA/OD.EKE/0020/13 ,10
