EXAM NO,SCORE
YW/13/0001,40
YW/13/0005,30
YW/13/0006,26
YW/13/0007,48
YW/13/0008,33
YW/13/0009,27
YW/13/0010,45
YW/13/0011,32
YW/13/0012,46
YW/13/0013,31
YW/13/0014,31
YW/13/0015,35
YW/13/0016,29
YW/13/0017,38
YW/13/0018,42
YW/13/0019,30
YW/13/0020,22
YW/13/0021,43
YW/13/0022,22
YW/13/0023,23
YW/13/0024,24
YW/13/0025,30
YW/13/0026,27
YW/13/0027,
YW/13/0028,38
YW/13/0029,40
YW/13/0030,43
YW/13/0031,37
YW/13/0032,37
YW/13/0033,39
YW/13/0034,23
YW/13/0035,29
YW/13/0036,
YW/13/0037,23
YW/13/0038,36
YW/13/0039,32
YW/13/0040,37
YW/13/0041,43
YW/13/0042,20
YW/13/0043,29
YW/13/0044,28
YW/13/0045,22
YW/13/0046,30
YW/13/0047,36
YW/13/0048,27
YW/13/0049,30
YW/13/0050,36
YW/13/0051,33
YW/13/0052,37
YW/13/0053,38
YW/13/0054,38
YW/13/0056,37
YW/13/0057,20
YW/13/0058,34
YW/13/0059,39
YW/13/0060,31
YW/13/0061,37
YW/13/0062,27
YW/13/0066,17
