EXAM NUMBER,SCORE ,,,,,
GI/13/0001,NA,,,,,
GI/13/0002,19,,,,,
GI/13/0003,22.5,,,,,
GI/13/0004,23,,,,, 
GI/13/0005,24,,,,,
GI/13/0006,22,,,,,
GI/13/0007,31,,,,,
GI/13/0008,22,,,,,
GI/13/0009,23,,,,,
GI/13/0010,23,,,,,
GI/13/0011,25.5,,,,,
GI/13/0012,27,,,,,
GI/13/0013,24,,,,,
GI/13/0014,30,,,,,
GI/13/0015,32,,,,,
GI/13/0016,15,,,,,
GI/13/0017,32,,,,,
GI/13/0018,12.5,,,,,
GI/13/0019,27,,,,,
GI/13/0020,36.5,,,,,
GI/13/0021,17,,,,,
GI/13/0022,35,,,,,
GI/13/0023,23,,,,,
GI/13/0024,33.5,,,,,
GI/13/0025,18,,,,,
GI/13/0026,18,,,,,
GI/13/0027,15,,,,,
GI/13/0028,20,,,,,
GI/13/0029,24,,,,,
GI/13/0030,31.5,,,,,
GI/13/0031,37,,,,,
GI/13/0032,NA,,,,,
GI/13/0033,26,,,,,
GI/13/0034,13,,,,,
GI/13/0035,25,,,,,
GI/13/0036,29.5,,,,,
GI/13/0037,22,,,,,
GI/13/0038,35,,,,,
GI/13/0039,28.5,,,,,
GI/13/0040,26,,,,,
GI/13/0041,NA,,,,,
GI/13/0042,NA,,,,,
GI/13/0043,NA,,,,,
GI/13/0044,NA,,,,,
GI/13/0045,NA,,,,,
GI/13/0046,NA,,,,,
GI/13/0047,NA,,,,,
GI/13/0048,NA,,,,,
GI/13/0049,NA,,,,,
GI/13/0050,NA,,,,,
GI/13/0051,NA,,,,,
GI/13/0052,NA,,,,,
GI/13/0053,NA,,,,,
GI/13/0054,NA,,,,,
GI/13/0055,NA,,,,,
GI/13/0056,NA,,,,,
GI/13/0057,NA,,,,,
,,,,,,
,,,,,,
,,,,                                                                                                                                                                                                                                                                                                                                                                                                        ,,
,,,,,,
,,,,,,
