ID,SCORE 
SS/13/0308,33
SS/13/0264,51
SS/13/0248,47
SS/13/0197,32
SS/13/0138,32
SS/13/0182,37
SS/13/0190,34
SS/13/0123,41
SS/13/0203,20
SS/13/0293,44
SS/13/0184,32
SS/13/0251,24
SS/13/0166,37
SS/13/0170,34
SS/13/0290,41
SS/13/0134,41
SS/13/0179,38
SS/13/0234,29
SS/13/0260,36
SS/13/0468,36
SS/13/0139,40
SS/13/0118,36
SS/13/0216,40
SS/13/0141,35
SS/13/0117,32
SS/13/0223,40
SS/13/0240,41
SS/13/0256,31
SS/13/0183,50
SS/13/0202,43
SS/13/0155,39
SS/13/0305,21
SS/13/0221,32
SS/13/0132,40
SS/13/0279,39
SS/13/0262,36
SS/13/0154,41
SS/13/0218,39
SS/13/0201,40
SS/13/0150,40
SS/13/0207,37
SS/13/0235,41
SS/13/0280,27
SS/13/0247,43
SS/13/0194,38
SS/13/0285,45
SS/13/0115,28
SS/13/0205,47
SS/13/0195,32
SS/13/0185,30
SS/13/0076,40
SS/13/0321,31
SS/13/0075,34
